,Unnamed: 0,TEAM_ID,ELO,MOMENTUM
0,1114,1610612760.0,1744.0477235652877,5
1,1113,1610612749.0,1558.5210833531767,1
2,1112,1610612744.0,1573.4716813571724,1
3,1111,1610612753.0,1507.563292412202,3
4,1110,1610612746.0,1573.2322669568598,3
5,1109,1610612758.0,1485.243691296746,-5
6,1108,1610612751.0,1387.6660896681055,-5
7,1107,1610612761.0,1460.445983184818,-1
8,1106,1610612766.0,1339.4433136020489,-3
9,1105,1610612765.0,1575.7765820116572,1
10,1104,1610612747.0,1577.512134872433,-1
11,1103,1610612756.0,1488.6762913409073,1
12,1102,1610612759.0,1460.1186940884156,1
13,1101,1610612764.0,1367.4619569707122,-1
14,1100,1610612754.0,1606.0784989425867,3
15,1099,1610612757.0,1510.900987464838,1
16,1098,1610612762.0,1311.1152622720817,-3
17,1097,1610612743.0,1544.6107567587076,-1
18,1096,1610612741.0,1497.9595740466752,3
19,1095,1610612763.0,1556.2074784880479,-3
20,1094,1610612750.0,1579.2985900192389,-1
21,1093,1610612755.0,1365.319111434014,-5
22,1092,1610612739.0,1679.966575696859,1
23,1091,1610612740.0,1380.9766132245802,-1
24,1090,1610612748.0,1454.0322607492665,1
25,1089,1610612738.0,1661.455874680861,3
26,1088,1610612745.0,1604.3069602454914,3
27,1086,1610612752.0,1574.17401623443,1
28,1082,1610612742.0,1464.862809976146,1
29,1018,1610612737.0,1484.998931120951,-1
