,TEAM_ID,ELO,MOMENTUM
1114,1610612760.0,1741.8276911752478,5.0
1113,1610612749.0,1523.4867484372612,1.0
1112,1610612744.0,1566.745006881178,-1.0
1111,1610612753.0,1457.8002924507907,-1.0
1110,1610612746.0,1565.78728175081,-1.0
1109,1610612758.0,1486.673920843181,1.0
1108,1610612751.0,1384.278664519203,-3.0
1107,1610612761.0,1445.0129877412876,-5.0
1106,1610612766.0,1322.5746252068311,-3.0
1105,1610612765.0,1552.6397171794763,-1.0
1104,1610612747.0,1563.3508919160392,-1.0
1103,1610612756.0,1467.144788494273,-1.0
1102,1610612759.0,1443.350885676267,-1.0
1101,1610612764.0,1320.1711896535146,-3.0
1100,1610612754.0,1587.012160351768,1.0
1099,1610612757.0,1481.5104674385668,-5.0
1098,1610612762.0,1285.9750890258017,-3.0
1097,1610612743.0,1579.0130274776982,1.0
1096,1610612741.0,1468.4817248258307,1.0
1095,1610612763.0,1532.8193445927636,3.0
1094,1610612750.0,1573.914405878212,3.0
1093,1610612755.0,1331.998577984856,1.0
1092,1610612739.0,1664.9456027103363,3.0
1091,1610612740.0,1389.534629465442,-3.0
1090,1610612748.0,1446.7357776112208,3.0
1089,1610612738.0,1681.5600583020012,3.0
1088,1610612745.0,1585.7327850346037,1.0
1086,1610612752.0,1567.721404116082,1.0
1082,1610612742.0,1469.0354305475944,1.0
1018,1610612737.0,1498.1624541988758,1.0
