,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0022401090,1610612758,SAC,Sacramento,201942,DeMar DeRozan,DeMar,F,,42.000000:20,12,24,0.5,2,6,0.333,5,7,0.714,0,3,3,8,1,0,0,2,31,0
1,0022401090,1610612758,SAC,Sacramento,1631099,Keegan Murray,Keegan,F,,35.000000:41,5,11,0.455,2,5,0.4,0,0,0,0,7,7,0,1,2,0,5,12,6
2,0022401090,1610612758,SAC,Sacramento,1627734,Domantas Sabonis,Domantas,C,,39.000000:51,11,19,0.579,0,0,0,3,6,0.5,4,12,16,0,1,0,1,4,25,-6
3,0022401090,1610612758,SAC,Sacramento,1631165,Keon Ellis,Keon,G,,27.000000:06,3,4,0.75,2,3,0.667,1,2,0.5,0,3,3,4,1,0,0,2,9,-4
4,0022401090,1610612758,SAC,Sacramento,203897,Zach LaVine,Zach,G,,37.000000:47,7,15,0.467,4,8,0.5,2,2,1,0,5,5,2,1,0,4,4,20,-13
5,0022401090,1610612758,SAC,Sacramento,1628370,Malik Monk,Malik,,,28.000000:38,2,14,0.143,1,3,0.333,0,0,0,1,6,7,7,0,0,5,1,5,7
6,0022401090,1610612758,SAC,Sacramento,1626168,Trey Lyles,Trey,,,15.000000:16,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,1,0,0,0,3,-4
7,0022401090,1610612758,SAC,Sacramento,1628365,Markelle Fultz,Markelle,,,5.000000:12,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0
8,0022401090,1610612758,SAC,Sacramento,202685,Jonas Valančiūnas,Jonas,,,8.000000:09,1,2,0.5,0,0,0,0,0,0,1,2,3,1,0,0,1,0,2,4
9,0022401090,1610612754,IND,Indiana,1630174,Aaron Nesmith,Aaron,F,,34.000000:45,7,16,0.438,1,8,0.125,9,9,1,0,6,6,0,1,2,1,3,24,13
10,0022401090,1610612754,IND,Indiana,1627783,Pascal Siakam,Pascal,F,,31.000000:32,4,15,0.267,1,4,0.25,2,2,1,2,1,3,6,0,0,1,0,11,0
11,0022401090,1610612754,IND,Indiana,1628418,Thomas Bryant,Thomas,C,,21.000000:52,3,7,0.429,1,3,0.333,0,0,0,1,6,7,1,0,1,0,1,7,-6
12,0022401090,1610612754,IND,Indiana,1629614,Andrew Nembhard,Andrew,G,,31.000000:25,2,8,0.25,1,5,0.2,0,0,0,0,7,7,2,1,1,1,3,5,-4
13,0022401090,1610612754,IND,Indiana,1630169,Tyrese Haliburton,Tyrese,G,,33.000000:24,7,13,0.538,2,4,0.5,2,2,1,1,1,2,11,0,0,5,1,18,-5
14,0022401090,1610612754,IND,Indiana,1628396,Tony Bradley,Tony,,,7.000000:47,2,2,1,0,0,0,0,0,0,0,3,3,0,0,1,0,2,4,-10
15,0022401090,1610612754,IND,Indiana,1630167,Obi Toppin,Obi,,,21.000000:41,7,11,0.636,5,8,0.625,0,0,0,1,6,7,0,0,0,1,3,19,10
16,0022401090,1610612754,IND,Indiana,1641716,Jarace Walker,Jarace,,,21.000000:50,6,10,0.6,3,7,0.429,0,0,0,0,0,0,2,2,0,1,1,15,-1
17,0022401090,1610612754,IND,Indiana,204456,T.J. McConnell,T.J.,,,21.000000:17,4,6,0.667,0,0,0,0,0,0,0,2,2,4,1,0,1,0,8,9
18,0022401090,1610612754,IND,Indiana,1641767,Ben Sheppard,Ben,,,14.000000:27,0,2,0,0,2,0,0,0,0,1,2,3,2,1,0,1,0,0,4
